ts,open,high,low,close,volume
2025-01-01T16:00:00+00:00,94442.9,97428.4,93740.4,96476.5,7119.81780219
2025-01-02T16:00:00+00:00,96473,97847.6,96043.8,97524.4,5405.32529154
2025-01-03T16:00:00+00:00,97525,98977.9,97392.5,97665.3,4370.84016229
2025-01-04T16:00:00+00:00,97665.3,98785.7,97260.8,98029.8,2436.48911861
2025-01-05T16:00:00+00:00,98029.8,102476,97561.9,102149.4,6132.07154628
2025-01-06T16:00:00+00:00,102149.9,102750,97097.6,97942.8,8715.20324348
2025-01-07T16:00:00+00:00,97952.2,98352.2,94529,95481.4,9224.97367125
2025-01-08T16:00:00+00:00,95481.5,95497.5,91800,94247.1,9432.02665716
2025-01-09T16:00:00+00:00,94247.1,95264.4,91200,93734.9,10342.50261248
2025-01-10T16:00:00+00:00,93735,95853.1,93185.4,94413,3606.06269993
2025-01-11T16:00:00+00:00,94412.9,95465,93711.8,95073.9,2056.57009721
2025-01-12T16:00:00+00:00,95073.9,95947.2,89111,92123.5,12472.76573868
2025-01-13T16:00:00+00:00,92123.6,97384,91242.5,96475.7,10123.01702215
2025-01-14T16:00:00+00:00,96475.7,99773,95340.1,98985.9,7830.16396599
2025-01-15T16:00:00+00:00,98985.8,100880,97311.1,99299.9,8047.72567482
2025-01-16T16:00:00+00:00,99299.9,104248.3,99063.4,104013.6,10588.00599974
2025-01-17T16:00:00+00:00,104013.6,105847.4,102288,104561.4,10173.58495552
2025-01-18T16:00:00+00:00,104561.4,105730.7,103148.1,104933.5,8620.66383717
2025-01-19T16:00:00+00:00,104933.5,109800,99526.4,104940.7,26174.63327745
2025-01-20T16:00:00+00:00,104950.3,107040.7,100111,103954.2,20499.05988776
2025-01-21T16:00:00+00:00,103954.2,107285.8,103638.5,104188,11848.9694155
2025-01-22T16:00:00+00:00,104189,106062.1,101233,105272.7,11803.64460861
2025-01-23T16:00:00+00:00,105272.9,106863.1,102213.2,105862.2,14599.81461841
2025-01-24T16:00:00+00:00,105862.1,107146.3,104106.1,104897.2,4662.90009693
2025-01-25T16:00:00+00:00,104897.3,105526.6,104429.1,104972.6,2415.67725378
2025-01-26T16:00:00+00:00,104972.5,105270.4,97751.6,101101.3,14960.93501003
2025-01-27T16:00:00+00:00,101101.3,103848,98859,102776.8,9522.83961963
2025-01-28T16:00:00+00:00,102776.7,103114.5,100274.4,101975.5,6161.25577812
2025-01-29T16:00:00+00:00,101975.5,106450.3,101416.9,105564,10286.63036897
2025-01-30T16:00:00+00:00,105564,106000,103900,105438,6888.84139038
